Gene	DI
KMT2C	0.178571429
RYR3	-0.151515152
BCORL1	0.432098765
POLE	-0.151515152
SMG1	-0.869565217
IGSF10	0.892857143
DMXL1	0.432098765
NBPF14	0.535714286
SLC9B1P1	0.432098765
NPIPB5	0.582524272
NPAP1	0.193370166
CDH26	-0.210843373
AMER3	-0.70754717
SALL3	0.320512821
GOLGA6L2	-0.70754717
KIAA1875	0.188679245
FER1L6	0.377358491
PCDH17	0.34351145
ZMIZ2	-0.158730159
PRDM9	-0.53030303
CCDC168	-0.058139535
SLFN11	-0.70754717
TUBB8	0.648854962
ZC3H13	-0.70754717
CACNA1A	-0.058139535
GRID2	0.705128205
SOX9	-0.348837209
BRCA2	-0.348837209
ZNF257	-0.555555556
PEG3	0.801526718
COL1A2	-0.348837209
KRT76	0.566037736
LRRTM4	0.185185185
KLRC2	-0.151515152
CRAMP1L	-0.151515152
AHCTF1	-0.151515152
AKAP13	0.432098765
PKDREJ	0.432098765
PCDHA1	0.161290323
ARHGEF11	0.377358491
MYH7	-0.151515152
PRR12	-0.471698113
DNAH8	0.185185185
FBN3	-0.151515152
PCDHGA1	-0.151515152
F5	-0.058139535
OTOF	0.161290323
CEP170	-0.70754717
DCLK1	-0.348837209
FCGBP	0.679012346
KIF26B	-0.639534884
TENM4	0.432098765
DNAJC13	-0.348837209
DCHS2	0.178571429
KIF21B	-0.930232558
CAMTA1	0.535714286
ANKRD36	0.161290323
SPTAN1	-0.53030303
VPS13A	0.178571429
RYR1	0.178571429
DNAH9	0.754716981
TLL1	-0.639534884
PCDHB6	0.178571429
FRMD4A	0.535714286
HEPHL1	0.535714286
SLC14A2	-0.53030303
IGSF9B	-0.326086957
SH2D3C	-0.348837209
RSF1	0.178571429
EVC2	0.925925926
DST	-0.348837209
PTPRS	-0.769230769
PCDHB7	0.892857143
TCHH	-0.151515152
ALMS1	-0.151515152
BMPR2	-0.348837209
CTNND2	-0.53030303
DUOX2	0.679012346
KIAA1462	-0.639534884
NUMA1	0.679012346
GRM5	-0.930232558
VCAN	0.892857143
COL6A6	0.892857143
SLC4A7	0.892857143
KMT2D	0.178571429
CTAGE8	-0.326086957
ERVW-1	0.806451613
STS	0.161290323
CNTN6	-0.639534884
ZNF804B	0.432098765
BOD1L1	-0.326086957
CMYA5	0.679012346
NEK1	0.178571429
SHROOM2	0.806451613
DNAH7	0.178571429
CCDC80	0.679012346
SCN9A	0.679012346
ATP2B2	-0.326086957
UNC80	0.679012346
ZNF292	0.432098765
CHRD	-0.326086957
EYS	-0.326086957
KIAA1109	0.432098765
ITIH2	-0.769230769
WDR64	-0.869565217
CAND2	0.535714286
DNAH3	0.535714286
MYLK	0.925925926
CTNND1	-0.326086957
KIF1B	0.178571429
AFF3	-0.909090909
SPEG	-0.326086957
TRPC6	-0.53030303
GPR158	0.679012346
SLC35G6	-0.326086957
SYNE2	0.535714286
PRAMEF26	-0.930232558
GLI3	-0.930232558
GOLGA3	0.535714286
LRP1B	-0.930232558
PTPRQ	-0.53030303
FNIP2	0.178571429
CENPE	0.679012346
PAPPA	0.178571429
HMCN1	0.679012346
EP300	0.892857143
NBEAL2	-0.151515152
OR10G2	-0.326086957
RP11-683L23.1	-0.909090909
TNK2	0.535714286
TTC6	0.806451613
WDFY4	0.535714286
CFTR	-0.06097561
SLC35B1	-0.295698925
ZNF623	-0.102739726
FAM83H	0.485436893
PCF11	-0.530973451
DIDO1	0.064102564
PLEC	0.448717949
PLCG1	0.190839695
PCBP1	0.414364641
SP8	-0.273972603
MTRR	0.448717949
AXIN2	-0.273972603
RP1	-0.235849057
POTEH	0.190839695
LOXHD1	0.34351145
SLC32A1	-0.058139535
RFX5	-0.158730159
F7	0.432098765
TOP1MT	0.648854962
SLC12A5	-0.151515152
TONSL	0.705128205
TMEM132D	-0.471698113
SRCAP	-0.555555556
PCMTD1	-0.70754717
ZNF318	-0.471698113
PLIN4	0.185185185
CEP68	-0.348837209
TTLL2	-0.357142857
MYCBP2	0.188679245
CCDC144NL	-0.53030303
PTPRT	0.566037736
AMER2	0.432098765
ADAMTS2	-0.348837209
NPIPB15	-0.53030303
IRS2	-0.952380952
COL6A2	-0.151515152
SALL1	0.679012346
COL18A1	-0.058139535
FLRT2	0.925925926
KIAA0100	-0.909090909
SSTR4	0.679012346
SPTBN1	-0.151515152
EPHB1	0.535714286
GOLGA4	-0.326086957
PCDHB11	0.185185185
POU4F2	0.754716981
YLPM1	0.679012346
PPP1R3A	0.178571429
SPATA31D1	-0.769230769
CPXM2	-0.53030303
UMODL1	-0.639534884
HS3ST2	0.961538462
SPERT	0.535714286
TAOK2	-0.151515152
DOT1L	0.432098765
KCNN3	-0.326086957
SOGA3	-0.151515152
KCNH4	0.185185185
CEP350	-0.53030303
FOXN1	0.679012346
RANBP2	0.432098765
LAMB4	-0.53030303
LAMC1	0.432098765
LRRD1	-0.348837209
TRPC4	-0.639534884
IRS1	0.943396226
KIAA1549	-0.53030303
KDR	0.535714286
CADM2	0.185185185
FAM155A	-0.639534884
KRT77	0.432098765
WDR90	-0.326086957
ZXDC	0.185185185
CCDC146	-0.151515152
ZNF486	0.432098765
PDE10A	0.178571429
MKI67	-0.151515152
ZNF304	-0.769230769
ARHGAP35	0.679012346
NES	-0.151515152
PTCHD3	0.535714286
RAI1	-0.326086957
ZNF202	-0.326086957
TMPRSS11F	0.432098765
CXCR2	-0.769230769
CACNA1C	0.178571429
XRCC5	0.535714286
GTF3C1	-0.53030303
PRPF8	-0.869565217
DPYD	0.432098765
ITGB2	0.535714286
PHLDB2	-0.53030303
PLEKHG2	-0.639534884
SIPA1	0.178571429
PLEKHG4B	0.161290323
DNAH6	0.178571429
ERBB3	0.161290323
URB1	0.178571429
PLEKHA7	-0.326086957
FBLN2	-0.326086957
C10orf71	0.535714286
DUSP27	0.178571429
GRIN2A	0.892857143
PIWIL3	0.178571429
WDR87	0.161290323
ABCA7	-0.326086957
FAT1	0.178571429
GLTSCR1	-0.943396226
DNAH1	0.161290323
FRAS1	0.943396226
GRIK2	-0.151515152
GXYLT2	-0.151515152
MMRN1	0.432098765
PEAR1	-0.909090909
PKP1	0
COL11A1	-0.326086957
ITSN1	-0.326086957
NCOR2	0.178571429
SEMA5B	0.161290323
ANKLE1	-0.909090909
CLASRP	0.535714286
HYDIN	0.178571429
RNF213	-0.53030303
EHMT1	0.679012346
HTRA3	0.178571429
DMXL2	0.535714286
ERCC2	-0.909090909
TNN	0.925925926
SPG11	0.535714286
COL19A1	-0.326086957
HERC1	0.535714286
CDRT15	0.535714286
SCN10A	-0.909090909
GSE1	0.943396226
STARD9	0.535714286
VPS13D	-0.53030303
CACNA1F	-0.326086957
RIMS1	0.925925926
DNAH10	0.679012346
BAZ2B	0.535714286
RBMXL3	0
NAV3	-0.326086957
HUWE1	-0.326086957
ESR2	0.178571429
ZNF804A	-0.326086957
GPR98	-0.326086957
GRIA1	0.806451613
MARK1	0.892857143
GLDC	-0.769230769
ZIC3	0.161290323
NYAP2	0.178571429
SLC4A3	0.535714286
SOX5	0.925925926
ANKRD30A	0.535714286
ARHGAP6	-0.909090909
DYSF	-0.869565217
IGHE	-0.53030303
PIK3CB	0.806451613
POLR2A	0.161290323
PLCE1	-0.53030303
DNAH14	0.535714286
ADAMTS15	0.178571429
KIAA1549L	0.892857143
NPIPB11	-0.326086957
CACNA1G	-0.326086957
LCORL	0.161290323
ABCB11	0.925925926
ABCC4	0.161290323
C20orf26	-0.326086957
AMOTL1	0.161290323
DGKI	-0.326086957
DOCK5	0.892857143
LRRK2	0.943396226
FRMPD3	0.161290323
OTOGL	-0.869565217
PCDHA10	0.892857143
SCN11A	0.161290323
TBC1D3	0.806451613
WAPAL	0.535714286
ZNF324	-0.769230769
CDH9	-0.909090909
EFCC1	-0.53030303
LPHN3	0.161290323
MLXIP	-0.326086957
OPRM1	-0.326086957
PCDHAC2	-0.326086957
UTP20	-0.909090909
BRWD3	0.925925926
SMAD3	0.535714286
FBN2	0.178571429
MAP1B	0.925925926
RYR2	0.535714286
GPRASP2	0.806451613
ADAMTS14	-0.326086957
SMAD2	0.925925926
BRINP3	-0.53030303
CLEC18A	-0.909090909
MASP1	0.178571429
OLFML2B	-0.930232558
SHPRH	-0.53030303
ADAMTSL1	0.892857143
CELSR1	0.161290323
NCAPD3	0.161290323
PDE4B	0
RGS3	0.892857143
TAS2R43	0.161290323
ANO5	0.892857143
CCDC180	-0.53030303
MOXD1	0.892857143
PAPPA2	0.535714286
SI	0.535714286
SLC10A3	-0.869565217
ZNF106	0.892857143
KIAA0195	0.161290323
ROS1	-0.326086957
ADARB1	0.535714286
HTR7	0.178571429
ROBO1	0.806451613
ATP11C	0.535714286
LCA5L	0.892857143
N4BP2	0.535714286
GPRASP1	0.161290323
ABCB5	0.178571429
CCDC15	0.161290323
KIAA1210	0.535714286
MYO5C	-0.326086957
NOVA1	0
PZP	0.535714286
RBM27	0.535714286
SDK1	0.806451613
ABCA1	0.535714286
C1orf173	0.178571429
DDX60	0.161290323
IGF2R	-0.326086957
IGHV4-4	-0.326086957
MYH2	0.679012346
PCDHGA7	0.892857143
ASCC3	0.178571429
OR6Q1	-0.326086957
RP11-297N6.4	-0.326086957
RP11-766F14.2	0.925925926
UNC13B	-0.53030303
ABHD16B	0
CTSA	-0.309734513
TGIF1	-0.060240964
SERINC4	-0.295698925
DNTTIP1	-0.102739726
ZNF512B	0.34351145
EPPK1	0.576923077
CCT8L2	0
IRX1	-0.357142857
RNF43	0.192307692
ZBTB38	-0.564516129
SKOR2	-0.102739726
ZNF696	0.648854962
MMP24	-0.445205479
KIAA0196	-0.471698113
CD68	0.064102564
VRTN	0.496183206
NCEH1	-0.158730159
ATP11A	-0.616438356
CHD7	0.377358491
LAMA5	-0.058139535
ZNF469	0.185185185
PRAMEF11	-0.471698113
SLITRK5	-0.616438356
HCAR3	-0.058139535
MTBP	-0.235849057
PIBF1	-0.348837209
BPIFB3	-0.348837209
HRH3	-0.348837209
C1orf116	0
ACIN1	-0.357142857
MYH7B	0.377358491
OLFM4	-0.787671233
COL4A2	-0.813253012
JPH2	0.377358491
BPIFB4	-0.151515152
KCNB1	-0.348837209
DGKH	-0.70754717
PCDH20	-0.348837209
ZNF831	0.432098765
SAMD9	-0.70754717
RNF219	-0.555555556
CHD2	-0.348837209
NETO1	-0.471698113
AKAP9	0.496183206
ZNF700	-0.348837209
UGP2	0.185185185
PRKDC	0.178571429
KIAA1551	-0.471698113
SLFN5	-0.70754717
ZDHHC11	-0.70754717
ACSM2B	0.432098765
MROH8	0.432098765
NACAD	-0.53030303
PARP10	-0.348837209
SLITRK1	0.535714286
SPATA13	-0.471698113
AEBP1	0.178571429
PCDH9	-0.471698113
KIF1A	0.178571429
MST1	-0.639534884
CTNNB1	-0.151515152
POLR3D	0.185185185
SNRNP48	-0.95890411
SLC35A5	-0.151515152
TRPS1	-0.869565217
F10	0.185185185
ERBB2	-0.869565217
PTPRN2	-0.639534884
ALPPL2	0.679012346
HIVEP3	-0.70754717
CPAMD8	-0.943396226
PCDH1	0.377358491
TRIO	-0.151515152
SAMD9L	-0.639534884
KCTD8	0.178571429
MUC2	0.178571429
TOX	-0.952380952
TSSK1B	-0.151515152
ZC3H3	0.679012346
KIAA0895	0.377358491
C8orf44	0.833333333
ZNF668	-0.909090909
EMILIN3	0.535714286
ZBTB20	0.679012346
KIF5B	-0.930232558
CACNA1H	-0.869565217
ADAM18	0.178571429
KCNQ3	0.161290323
MTCH2	-0.151515152
ZNF417	-0.930232558
CD22	0.892857143
KCNB2	-0.326086957
NFAT5	-0.53030303
PCDHA2	0.178571429
PLK1	0.178571429
FCGR3A	0.754716981
PGAP1	-0.930232558
MED15	0.185185185
IGF2BP1	0.178571429
LAMB1	0.432098765
PRAMEF2	-0.930232558
HEY2	0.535714286
COL5A1	-0.348837209
MYO7A	0.178571429
COL14A1	0.535714286
KPRP	0.754716981
ST14	-0.151515152
NLRP8	-0.869565217
TNS3	-0.151515152
FRY	-0.53030303
LRRC56	-0.53030303
CCDC129	0.754716981
TRRAP	-0.943396226
CREBBP	-0.326086957
MYBPC2	-0.326086957
HSPA6	-0.53030303
ZNF672	-0.943396226
ZAN	0.161290323
OTOP2	0.161290323
SNTG1	0.178571429
DPEP1	0.892857143
DNAH2	-0.151515152
HMHA1	0.178571429
CBFA2T3	0.943396226
ITPRIPL1	0.754716981
XKR6	-0.53030303
MUM1	-0.639534884
VPS13B	0.535714286
TOP3B	-0.326086957
CROT	-0.151515152
FAM83B	-0.326086957
ZIM3	0.161290323
PCDHB5	0.925925926
DPYS	0.943396226
CAMSAP2	-0.909090909
KDM5B	-0.639534884
FOXF1	0.432098765
TECPR1	0.178571429
CCDC14	0.178571429
NBPF20	-0.909090909
GRM3	-0.326086957
RGS11	0.161290323
GOLGA8S	0.679012346
UBQLN3	0
MYO16	-0.53030303
CLEC16A	0.178571429
CPD	-0.53030303
JAKMIP2	-0.151515152
KIF24	0.679012346
MYO18A	0.925925926
FAT2	0.535714286
LPA	-0.53030303
CACNA1B	-0.326086957
HTR1E	0.535714286
TNRC18	-0.53030303
TRPM5	0.925925926
TTYH2	0.925925926
ZNF71	-0.326086957
VAPA	0.178571429
TENM2	0.178571429
FAM153A	-0.326086957
SEZ6	0.535714286
PCDHB13	-0.326086957
PRB2	-0.326086957
CHPF	0.535714286
HDAC4	-0.53030303
LARGE	-0.53030303
SLFN13	-0.909090909
TERT	-0.769230769
CCER1	0.178571429
PTPRK	-0.326086957
CASP8	-0.909090909
MFSD6	-0.639534884
P2RX2	0.892857143
VWC2	0.178571429
NRXN2	0.178571429
BAIAP3	0.535714286
CASP5	-0.53030303
ARID1B	0.178571429
RUNX1T1	0.178571429
URB2	0.178571429
BFSP1	0.679012346
CUX2	-0.869565217
DSCAML1	0.432098765
IQSEC1	-0.943396226
ISLR2	0.535714286
POM121	-0.53030303
ZFC3H1	0.178571429
ZRANB1	0.178571429
ERBB4	0.178571429
KCNA7	0.161290323
KLHL22	0.535714286
SLC43A2	-0.639534884
WFIKKN2	-0.53030303
CILP2	0.161290323
DCP1B	0.432098765
MIA3	-0.930232558
RAD51B	-0.326086957
TMEM132B	0.892857143
NYAP1	-0.326086957
PIK3CG	0.535714286
ATP2C1	0.535714286
STK36	-0.326086957
DSG3	0.178571429
MUC3A	-0.326086957
MTA1	0.535714286
GRIA4	-0.869565217
BUB1	-0.326086957
EML5	0.161290323
MVP	0.892857143
PTPRU	-0.909090909
HDAC9	0.679012346
PCDH7	-0.769230769
PCDHB2	0.161290323
MSH4	0.925925926
SIPA1L3	0.892857143
CCDC69	0.892857143
KCND2	0.535714286
BCL9L	-0.326086957
SPHKAP	0.161290323
ESR1	-0.53030303
FAM184A	-0.769230769
GRIA2	0.892857143
SND1	-0.326086957
OAS3	0.806451613
CIC	0.535714286
ICA1	-0.769230769
MTMR3	0.178571429
CSMD2	0.535714286
SOBP	0.535714286
GRM7	-0.909090909
RXFP1	0.178571429
RNF146	0.178571429
CDC42BPA	-0.326086957
LAMA3	-0.930232558
RIMBP2	0.535714286
FAM196B	0
FRG2B	-0.53030303
GLYR1	-0.326086957
MICAL3	0.178571429
MYBPH	0.161290323
MYRF	-0.326086957
NKAPL	-0.53030303
POU2F1	0.178571429
SYNM	0.535714286
HIVEP2	0.535714286
IPO4	0.679012346
TULP4	-0.869565217
CDH10	-0.326086957
DLGAP2	-0.769230769
TBX3	0.679012346
CPED1	0.161290323
FLNC	0.161290323
SORL1	-0.326086957
ATP4A	0.806451613
BLK	0.535714286
NEU4	0.535714286
PCDHGA2	0.535714286
SLC16A10	0.178571429
SLC26A6	0.178571429
TNS1	-0.909090909
UNC5D	0.161290323
CADPS2	-0.869565217
LRRC7	0.535714286
MAP2K3	0.178571429
NEURL4	-0.869565217
PCNT	0.161290323
SPTBN2	-0.326086957
THEMIS	-0.326086957
ZNF606	-0.326086957
SLC38A10	-0.326086957
ADAM8	-0.769230769
TNR	0.806451613
ATP10A	0.535714286
CHD8	0.535714286
CUL7	0.925925926
KMT2A	0.535714286
SETD1B	0.535714286
TCF25	0.161290323
TTC27	-0.53030303
CDH11	-0.909090909
GOLGA2	0.161290323
KIF1C	0.535714286
RBM42	0.535714286
AGBL1	-0.53030303
ARHGEF12	-0.869565217
CCDC40	0.535714286
IGHMBP2	-0.326086957
PHIP	-0.326086957
PIK3R1	0.161290323
PLXNA2	0.178571429
PPFIBP1	0.535714286
PRKG1	0.161290323
TTC31	0.892857143
ZNF181	-0.869565217
ZNF233	0.161290323
TPST2	-0.326086957
SMYD4	-0.909090909
SERPINA9	0.679012346
BPTF	-0.53030303
DOCK8	0.535714286
DLGAP3	0.535714286
PCDH18	0.535714286
OR2A12	-0.909090909
THBS2	-0.909090909
ZNF532	0.178571429
CDH8	-0.326086957
QRFPR	0.943396226
ABCC5	0.535714286
ANKRD12	0.535714286
CAD	-0.326086957
COL7A1	-0.909090909
DIP2C	-0.869565217
FMO3	-0.869565217
GAD1	-0.769230769
GLRB	0.679012346
HEMGN	0.161290323
SPAG9	-0.326086957
THADA	0.806451613
ACAN	-0.326086957
CCDC42	0.535714286
GABBR2	-0.909090909
HFM1	-0.326086957
KNG1	0.925925926
KPNA7	-0.869565217
MAP3K3	-0.326086957
OR2M4	-0.326086957
PIEZO2	-0.53030303
RHBDL3	-0.869565217
SCAF11	0.535714286
ZNF382	-0.326086957
DISP1	-0.326086957
GYPB	0.161290323
KIAA2026	-0.326086957
KIF6	0.679012346
KRBA1	-0.53030303
NKX2-5	0.161290323
NPTX2	-0.769230769
PRR14L	0.178571429
RTN4RL1	0.943396226
HERC6	0.535714286
HERC4	0.161290323
CFH	-0.909090909
NFATC4	-0.869565217
ZIC1	0.806451613
CADPS	-0.326086957
SLC39A6	-0.869565217
GNPTAB	-0.326086957
PTH2	-0.326086957
ZFHX2	0.535714286
MUM1L1	0.535714286
LAMA1	0.161290323
SOS1	0.892857143
BTAF1	0.161290323
SAAL1	-0.909090909
CAPS2	0.535714286
RAF1	-0.326086957
SCN5A	0.535714286
SIK3	0.535714286
TBC1D19	-0.869565217
HRCT1	0.161290323
ZNF827	-0.326086957
TBC1D1	0.161290323
NR3C1	-0.326086957
EPHA4	0.535714286
NOTCH1	0.806451613
PLOD2	0.535714286
C19orf26	-0.869565217
VWA9	0.892857143
CD300A	-0.769230769
D2HGDH	0.161290323
EFHB	0.161290323
PCDHA8	0.535714286
RESP18	-0.769230769
AGTPBP1	0.892857143
FCHSD1	-0.769230769
KCND3	0.806451613
POMC	-0.769230769
XDH	-0.326086957
NFASC	-0.769230769
ARMC4	0.161290323
ANK3	0.535714286
ARHGEF19	0.161290323
PRRC2B	0
ADAMTS20	0.161290323
AMBRA1	0.535714286
CDHR5	0.892857143
ATF7IP2	-0.769230769
MYEF2	-0.909090909
HMGXB3	0.161290323
PCDHAC1	-0.869565217
RLF	0.892857143
CATSPERB	-0.326086957
LIMK2	-0.869565217
MAGEE1	0.535714286
NLGN4X	0
CROCC	0.892857143
FPR3	0.535714286
LRRIQ1	-0.326086957
SDK2	-0.769230769
TBC1D8B	-0.326086957
FREM1	0.925925926
PIK3R4	0.892857143
KCNQ5	0.535714286
ERC2	0.806451613
FLRT3	0.161290323
MACF1	0.892857143
MLK4	-0.869565217
NOTUM	0.892857143
PDE3B	0.535714286
ZNF519	-0.909090909
CUBN	0.806451613
DOCK3	0.892857143
KRT24	0.892857143
MSH2	0.161290323
C16orf11	0.806451613
CCDC11	0.161290323
FLNA	0.161290323
GABRE	0.535714286
GRK7	0.892857143
OVCH1	0.161290323
PRAM1	-0.769230769
ROCK1	-0.869565217
COMP	-0.769230769
DOCK10	0.535714286
FAM47E-STBD1	0.161290323
PUM1	0.806451613
ATR	0.161290323
AKT1	-0.909090909
DZIP1L	-0.869565217
KRT5	0.535714286
NOTCH2	0.161290323
ARHGEF10L	0.535714286
ARHGEF6	0.161290323
CUX1	0.161290323
NCOA1	0.535714286
SLC5A12	0.161290323
TTYH1	0.892857143
ASTN1	0.806451613
DIAPH2	0.535714286
DOCK4	0.892857143
DOCK7	0.806451613
GUCY1A3	0.892857143
TDRD5	0
ADRA1A	0.535714286
ANK2	0.161290323
CCDC88C	0.892857143
EPHA2	0.535714286
EPHA3	0.806451613
KIAA0947	-0.769230769
KIAA1009	0.892857143
ADAMTS12	0.161290323
DHX29	-0.326086957
DHX36	0.161290323
GJA1	-0.769230769
HECW1	0.892857143
KDM5C	0.892857143
MAGEC1	0.161290323
OR52D1	0.806451613
OTUD7A	0.892857143
SMARCA1	0.535714286
SMARCA4	0.892857143
TMPRSS15	0.892857143
BAI3	-0.869565217
DEFB110	0.161290323
DGKZ	0.161290323
HOXD13	-0.769230769
KCNC1	-0.326086957
MAGED1	0.161290323
RASGRF1	0.161290323
USP24	0.892857143
ZNF609	0.161290323
GAD2	-0.909090909
PXDN	-0.769230769
ADAMTS19	0.535714286
AKAP8	-0.326086957
KIAA1731	0.806451613
UTRN	-0.869565217
CACNA1D	0.892857143
KMT2B	0.535714286
LRRN3	-0.869565217
AGBL3	0.161290323
ARHGAP23	0.892857143
BRWD1	0.806451613
KDM4B	0
NAV2	0.892857143
RLIM	0.806451613
SHROOM4	0.892857143
TMPPE	-0.769230769
HECTD4	0.806451613
ITGB3	-0.909090909
MUSK	0.892857143
PJA2	0.161290323
SMPD1	0.535714286
TBR1	0.161290323
TLN2	0.892857143
TRIM49B	0.892857143
VPS41	-0.326086957
APBA1	0.925925926
ASXL2	0.925925926
CXorf66	-0.769230769
GBP7	-0.909090909
GGT1	-0.769230769
GPR144	0.806451613
L1CAM	0.535714286
MEGF8	0.892857143
NAALAD2	-0.869565217
NPAS3	0.806451613
NT5E	0.806451613
OLIG2	0.161290323
P2RY4	-0.326086957
PDE1B	-0.326086957
SEC16A	0.161290323
SLC30A10	0.535714286
ADAMTS17	-0.326086957
ADCY9	-0.869565217
ARMCX4	0.161290323
ASIC4	0.925925926
C8orf48	0
CPT1C	0.161290323
DPP3	0
HIST1H1A	0
IFT140	0.535714286
LRRC8A	0.161290323
MYO3B	0.892857143
NEK10	0.806451613
NPBWR1	0.535714286
PIDD	0.925925926
PRMT2	0.892857143
PYGM	0.161290323
RASGRP3	-0.869565217
TRBV6-7	-0.909090909
ZNF462	0.161290323
FANCE	-0.769230769
ANKAR	-0.769230769
CDKL5	0.161290323
KIFAP3	-0.869565217
PCDH15	0.161290323
CCDC27	0.892857143
CD6	-0.326086957
CLSTN3	0
MROH7	0.161290323
MYT1L	-0.326086957
AK9	0.535714286
ARHGAP36	-0.326086957
FZD8	0.161290323
MDN1	-0.326086957
DCHS1	0.806451613
DUOX1	0.161290323
LPAR4	-0.326086957
SPEN	0.892857143
TRHDE	-0.769230769
CCDC30	0.535714286
CILP	0.535714286
COLGALT2	-0.326086957
LRCH2	0.806451613
MANEA	0.925925926
NCOR1	-0.326086957
PHLDB1	-0.326086957
PXK	0.161290323
TENM1	-0.326086957
ATG2B	-0.769230769
BIVM-ERCC5	-0.869565217
BRD8	0.892857143
C1orf222	-0.769230769
DLL3	-0.869565217
ESYT3	-0.769230769
ITFG2	0.161290323
MSH3	0.806451613
MZF1	-0.769230769
PPP1R26	0.892857143
PRSS12	0.892857143
BAI2	-0.869565217
DPP10	-0.869565217
EIF2AK4	0.892857143
OR14A2	0.535714286
QSER1	0.161290323
SOX13	0
ZDBF2	-0.326086957
DAAM1	0.925925926
DENND5A	0.892857143
DGKD	0.892857143
GJB5	0.161290323
HTR2B	0.806451613
KIAA1211	0
LYST	-0.326086957
MCTP1	0.535714286
MSC	-0.869565217
PANX3	0.806451613
PDZRN3	-0.326086957
PKN1	0.892857143
PLCL1	0.161290323
POLR3B	0.535714286
PPRC1	0.161290323
SAMD4B	-0.869565217
SCN7A	0.535714286
SECISBP2L	0.806451613
SEMA3E	0.892857143
SMAD5	0.806451613
SMC1A	-0.326086957
ANKRD17	0.161290323
COL4A4	0.892857143
COL8A1	0.161290323
DNMBP	0.535714286
EFCAB6	0.161290323
EFR3B	0.161290323
F8	0.161290323
FAM171B	0.535714286
FANCB	-0.326086957
IGLJ3	0.161290323
IQSEC2	0.161290323
ITIH5	-0.769230769
KIAA1239	-0.326086957
MAGI1	-0.326086957
OR14C36	-0.326086957
PCDHGA9	0.161290323
PPIP5K1	-0.326086957
PRG4	0.161290323
PRIM2	-0.326086957
RASAL3	0.161290323
RP11-385D13.1	0.161290323
RPS6KA4	0.892857143
SEMA4C	0.892857143
TBC1D32	-0.769230769
TTC16	0.161290323
ZSWIM8	0.161290323
KLF5	0.12455516
POFUT1	-0.121359223
JRKL	-0.309734513
SRSF5	-0.467479675
TSC22D1	0.021645022
EPM2AIP1	-0.420353982
VCPIP1	-0.309734513
HOXA2	-0.512048193
C7orf43	-0.02688172
ZNF785	-0.295698925
ACSS2	-0.242718447
MAPK3	-0.161290323
RBM12B	-0.485436893
TAF4	-0.060240964
PRAMEF4	-0.564516129
MCM7	-0.485436893
